"","name","rating","good.maven","good.pop","good.conn","good.random","bad.maven","bad.pop","bad.conn","bad.random","review.count","good.review.count","bad.review.count","good.maven.count","good.pop.count","good.conn.count","good.random.count","bad.maven.count","bad.pop.count","bad.conn.count","bad.random.count"
"58","Bacchanal Buffet",4,76,76,72,80,0,16,16,64,3046,1849,405,771,2657,1115,2657,771,2657,1115,2657
"60","The Buffet at ARIA",3,72,68,72,60,68,60,60,60,1125,424,328,133,987,283,987,133,987,283,987
"61","Harrah's Las Vegas Hotel & Casino",3,72,68,76,72,40,44,36,56,685,202,210,90,609,169,609,90,609,169,609
"62","Sugar Factory",3,68,72,68,68,56,60,64,64,769,328,197,103,690,187,690,103,690,187,690
"63","Phoenix Sky Harbor International Airport",3.5,80,68,80,68,28,28,48,64,1512,649,304,576,1354,836,1354,576,1354,836,1354
"64","Gordon Ramsay Pub & Grill",3,64,64,60,64,44,52,48,60,1052,406,362,94,933,191,933,94,933,191,933
"66","China Poblano",3,72,72,72,56,52,60,72,56,835,321,268,99,755,190,755,99,755,190,755
"70","Hash House A Go Go",4,80,72,68,52,48,48,64,52,2110,1300,265,461,2200,786,2200,461,2200,786,2200
"71","Mesa Grill",4,76,76,76,76,20,28,28,64,2143,1442,246,372,1932,621,1932,372,1932,621,1932
"72","The New Tropicana Las Vegas",3,48,72,72,68,40,28,44,60,850,277,292,68,768,150,768,68,768,150,768
"74","Treasure Island, LLC",3,68,76,72,76,16,44,40,68,1436,641,327,229,1261,406,1261,229,1261,406,1261
"76","Stratosphere",3,72,64,64,64,56,56,52,72,872,267,267,91,764,195,764,91,764,195,764
"77","BLT Burger",3.5,64,72,64,80,8,40,36,48,908,430,165,140,807,233,807,140,807,233,807
"78","Marquee Nightclub & Dayclub",3.5,84,76,80,76,32,56,64,64,1701,931,347,526,1562,812,1562,526,1562,812,1562
"79","Bally's Las Vegas Hotel & Casino",3,60,68,68,76,32,52,48,60,858,337,193,139,758,227,758,139,758,227,758
"81","Carnival World Buffet",3.5,80,76,76,64,0,44,48,48,1176,607,225,245,1052,413,1052,245,1052,413,1052
"83","Holsteins Shakes and Buns",4,76,64,60,72,24,48,64,40,1757,1099,183,411,1568,634,1568,411,1568,634,1568
"84","The Venetian Resort Hotel Casino",4,68,68,68,64,6.25,20,24,44,2079,1433,221,652,1841,866,1841,652,1841,866,1841
"86","Mon Ami Gabi",4,84,52,84,80,16,24,32,40,4578,3367,307,919,4137,1409,4137,919,4137,1409,4137
"88","Cravings Buffet at Mirage",3.5,72,72,76,84,60,60,56,52,729,336,161,90,654,171,654,90,654,171,654
"89","Circus Circus Las Vegas Hotel and Casino",2.5,24,36,32,56,72,64,64,60,1055,212,533,89,926,177,926,89,926,177,926
"91","The Cosmopolitan of Las Vegas",4,80,72,84,68,24,36,32,48,2510,1682,356,702,2241,1008,2241,702,2241,1008,2241
"94","Le Village Buffet",3.5,72,68,68,72,44,60,64,56,1424,667,296,269,1256,458,1256,269,1256,458,1256
"95","Cabo Wabo Cantina",3,56,68,60,60,52,72,72,56,560,191,207,36,499,85,499,36,499,85,499
"97","Gordon Ramsay Steak",4,92,80,92,80,32,25,36,44,1542,1095,157,143,1414,234,1414,143,1414,234,1414
"99","Wicked Spoon",3.5,80,76,76,60,24,20,48,40,3828,2186,511,1044,3352,1577,3352,1044,3352,1577,3352
